n,m,comparisons,swaps,execution_time
3400,2,5778300,5781699,0.13275730004534125
3400,3,5778300,5781699,0.13092110003344715
3400,4,5778300,5781699,0.16117019997909665
3400,5,5778300,5781699,0.163738299976103
3400,6,5778300,5781699,0.14563849999103695
3400,7,5778300,5781699,0.13057499995920807
3400,8,5778300,5781699,0.13407349993940443
3400,9,5778300,5781699,0.13056780002079904
3400,10,5778300,5781699,0.13235570001415908
3500,1,6123250,6126749,0.14203829993493855
3500,2,6123250,6126749,0.13876839994918555
3500,3,6123250,6126749,0.1500470000319183
3500,4,6123250,6126749,0.14116280002053827
3500,5,6123250,6126749,0.13820169994141906
3500,6,6123250,6126749,0.13548289996106178
3500,7,6123250,6126749,0.13743469992186874
3500,8,6123250,6126749,0.1369064999744296
3500,9,6123250,6126749,0.14017550006974488
3500,10,6123250,6126749,0.1361039999173954
3600,1,6478200,6481799,0.15970210009254515
3600,2,6478200,6481799,0.14475010009482503
3600,3,6478200,6481799,0.1441144000273198
3600,4,6478200,6481799,0.1480016999412328
3600,5,6478200,6481799,0.14321200002450496
3600,6,6478200,6481799,0.14661059994250536
3600,7,6478200,6481799,0.14407839998602867
3600,8,6478200,6481799,0.15644579997751862
3600,9,6478200,6481799,0.14569819997996092
3600,10,6478200,6481799,0.14197849994525313
3700,1,6843150,6846849,0.15290740004274994
3700,2,6843150,6846849,0.15236279997043312
3700,3,6843150,6846849,0.15461109997704625
3700,4,6843150,6846849,0.15303369995672256
3700,5,6843150,6846849,0.16129249997902662
3700,6,6843150,6846849,0.1515108000021428
3700,7,6843150,6846849,0.14936899999156594
3700,8,6843150,6846849,0.15319410001393408
3700,9,6843150,6846849,0.16312719997949898
3700,10,6843150,6846849,0.1920364999677986
3800,1,7218100,7221899,0.1724199999589473
3800,2,7218100,7221899,0.17214889999013394
3800,3,7218100,7221899,0.16110269993077964
3800,4,7218100,7221899,0.15733890002593398
3800,5,7218100,7221899,0.16258419991936535
3800,6,7218100,7221899,0.15948160004336387
3800,7,7218100,7221899,0.1563177000498399
3800,8,7218100,7221899,0.1637767000356689
3800,9,7218100,7221899,0.1621220000088215
3800,10,7218100,7221899,0.15677460003644228
3900,1,7603050,7606949,0.16889940004330128
3900,2,7603050,7606949,0.16727060009725392
3900,3,7603050,7606949,0.16522530000656843
3900,4,7603050,7606949,0.1642411999637261
3900,5,7603050,7606949,0.17855379998218268
3900,6,7603050,7606949,0.16474819998256862
3900,7,7603050,7606949,0.16661089996341616
3900,8,7603050,7606949,0.1685183000518009
3900,9,7603050,7606949,0.16488569998182356
3900,10,7603050,7606949,0.16520339995622635
4000,1,7998000,8001999,0.1863207999849692
4000,2,7998000,8001999,0.17198859993368387
4000,3,7998000,8001999,0.17448310006875545
4000,4,7998000,8001999,0.17371840006671846
4000,5,7998000,8001999,0.17293579992838204
4000,6,7998000,8001999,0.1715029999613762
4000,7,7998000,8001999,0.18274990003556013
4000,8,7998000,8001999,0.171497100032866
4000,9,7998000,8001999,0.17917419993318617
4000,10,7998000,8001999,0.24538490001577884
4100,1,8402950,8407049,0.21756729995831847
4100,2,8402950,8407049,0.1802647999720648
4100,3,8402950,8407049,0.1928235999075696
4100,4,8402950,8407049,0.18895940005313605
4100,5,8402950,8407049,0.15962880000006407
4100,6,8402950,8407049,0.15202499995939434
4100,7,8402950,8407049,0.15638900001067668
4100,8,8402950,8407049,0.1629646000219509
4100,9,8402950,8407049,0.15595879999455065
4100,10,8402950,8407049,0.1514602000825107
4200,1,8817900,8822099,0.19757530000060797
4200,2,8817900,8822099,0.18631330004427582
4200,3,8817900,8822099,0.1924753999337554
4200,4,8817900,8822099,0.19151340005919337
4200,5,8817900,8822099,0.1977589000016451
4200,6,8817900,8822099,0.1938688000664115
4200,7,8817900,8822099,0.1911227999953553
4200,8,8817900,8822099,0.18747180001810193
4200,9,8817900,8822099,0.18811190000269562
4200,10,8817900,8822099,0.18767449993174523
4300,1,9242850,9247149,0.21032249997369945
4300,2,9242850,9247149,0.196043899981305
4300,3,9242850,9247149,0.19565790006890893
4300,4,9242850,9247149,0.19460260006599128
4300,5,9242850,9247149,0.19604299997445196
4300,6,9242850,9247149,0.20810839999467134
4300,7,9242850,9247149,0.19524180004373193
4300,8,9242850,9247149,0.2620462999911979
4300,9,9242850,9247149,0.21579049993306398
4300,10,9242850,9247149,0.20257970003876835
4400,1,9677800,9682199,0.18800730002112687
4400,2,9677800,9682199,0.17819229990709573
4400,3,9677800,9682199,0.18070949998218566
4400,4,9677800,9682199,0.17518000002019107
4400,5,9677800,9682199,0.1788540999405086
4400,6,9677800,9682199,0.18620620004367083
4400,7,9677800,9682199,0.2181970999808982
4400,8,9677800,9682199,0.20479400001931936
4400,9,9677800,9682199,0.20636069995816797
4400,10,9677800,9682199,0.20257500000298023
4500,1,10122750,10127249,0.2197314000222832
4500,2,10122750,10127249,0.22234009997919202
4500,3,10122750,10127249,0.21363530005328357
4500,4,10122750,10127249,0.21122040005866438
4500,5,10122750,10127249,0.21242459991481155
4500,6,10122750,10127249,0.2160693999612704
4500,7,10122750,10127249,0.22248710005078465
4500,8,10122750,10127249,0.21248500002548099
4500,9,10122750,10127249,0.21199019998311996
4500,10,10122750,10127249,0.21828909998293966
4600,1,10577700,10582299,0.23075599991716444
4600,2,10577700,10582299,0.24309569993056357
4600,3,10577700,10582299,0.2763518000720069
4600,4,10577700,10582299,0.23354810010641813
4600,5,10577700,10582299,0.2411219000350684
4600,6,10577700,10582299,0.23058969993144274
4600,7,10577700,10582299,0.2217690999386832
4600,8,10577700,10582299,0.22261030005756766
4600,9,10577700,10582299,0.22894249996170402
4600,10,10577700,10582299,0.22124139999505132
4700,1,11042650,11047349,0.24622390000149608
4700,2,11042650,11047349,0.23073119996115565
4700,3,11042650,11047349,0.2340392000041902
4700,4,11042650,11047349,0.22896159999072552
4700,5,11042650,11047349,0.2293994000647217
4700,6,11042650,11047349,0.2386025000596419
4700,7,11042650,11047349,0.23026899993419647
4700,8,11042650,11047349,0.23725619993638247
4700,9,11042650,11047349,0.22794390004128218
4700,10,11042650,11047349,0.24159399990458041
4800,1,11517600,11522399,0.24329570005647838
4800,2,11517600,11522399,0.24473479995504022
4800,3,11517600,11522399,0.23893849994055927
4800,4,11517600,11522399,0.2494143999647349
4800,5,11517600,11522399,0.2985550999874249
4800,6,11517600,11522399,0.2538110000314191
4800,7,11517600,11522399,0.2465725999791175
4800,8,11517600,11522399,0.23728629993274808
4800,9,11517600,11522399,0.2512210999848321
4800,10,11517600,11522399,0.24185549991670996
4900,1,12002550,12007449,0.25148729991633445
4900,2,12002550,12007449,0.2465883999830112
4900,3,12002550,12007449,0.2765179999405518
4900,4,12002550,12007449,0.25106369995046407
4900,5,12002550,12007449,0.24808659998234361
4900,6,12002550,12007449,0.24725769995711744
4900,7,12002550,12007449,0.258554800064303
4900,8,12002550,12007449,0.25359199999365956
4900,9,12002550,12007449,0.2511558000696823
4900,10,12002550,12007449,0.24859080009628087
5000,1,12497500,12502499,0.2598017998971045
5000,2,12497500,12502499,0.2711476000258699
5000,3,12497500,12502499,0.25745280005503446
5000,4,12497500,12502499,0.2590715999249369
5000,5,12497500,12502499,0.32269659999292344
5000,6,12497500,12502499,0.2756041999673471
5000,7,12497500,12502499,0.26528459996916354
5000,8,12497500,12502499,0.2936075000325218
5000,9,12497500,12502499,0.31124349997844547
5000,10,12497500,12502499,0.2732853000052273
5100,1,13002450,13007549,0.27098809997551143
5100,2,13002450,13007549,0.2664345999946818
5100,3,13002450,13007549,0.28344280004967004
5100,4,13002450,13007549,0.2655021999962628
5100,5,13002450,13007549,0.28227890003472567
5100,6,13002450,13007549,0.2690097999293357
5100,7,13002450,13007549,0.28017719998024404
5100,8,13002450,13007549,0.2682117000222206
5100,9,13002450,13007549,0.26832789997570217
5100,10,13002450,13007549,0.2715221999678761
5200,1,13517400,13522599,0.2894298000028357
5200,2,13517400,13522599,0.2784281999338418
5200,3,13517400,13522599,0.2941465999465436
5200,4,13517400,13522599,0.33840130001772195
5200,5,13517400,13522599,0.3052461000625044
5200,6,13517400,13522599,0.28376379993278533
5200,7,13517400,13522599,0.28479479998350143
5200,8,13517400,13522599,0.29553730005864054
5200,9,13517400,13522599,0.279549999977462
5200,10,13517400,13522599,0.27707360009662807
5300,1,14042350,14047649,0.2949769999831915
5300,2,14042350,14047649,0.2987668999703601
5300,3,14042350,14047649,0.28597810002975166
