n,m,comparisons,swaps,execution_time
1400,7,75019,51349,0.02838149992749095
1400,8,75019,51349,0.026553899981081486
1400,9,75019,51349,0.028327899985015392
1400,10,75019,51349,0.02675210009329021
1500,1,81287,55487,0.02407749998383224
1500,2,81287,55487,0.024313299916684628
1500,3,81287,55487,0.027230000006966293
1500,4,81287,55487,0.025247600045986474
1500,5,81287,55487,0.027226199978031218
1500,6,81287,55487,0.025710499961860478
1500,7,81287,55487,0.02641539997421205
1500,8,81287,55487,0.02671929995995015
1500,9,81287,55487,0.027659700019285083
1500,10,81287,55487,0.02597860002424568
1600,1,87294,59852,0.02525710000190884
1600,2,87294,59852,0.025280999951064587
1600,3,87294,59852,0.024542100029066205
1600,4,87294,59852,0.02612940000835806
1600,5,87294,59852,0.027361800079233944
1600,6,87294,59852,0.02718899992760271
1600,7,87294,59852,0.026674999971874058
1600,8,87294,59852,0.025395500008016825
1600,9,87294,59852,0.02572830009739846
1600,10,87294,59852,0.025948500027880073
1700,1,94599,64830,0.026958700036630034
1700,2,94599,64830,0.025949200033210218
1700,3,94599,64830,0.025801200070418417
1700,4,94599,64830,0.05499180010519922
1700,5,94599,64830,0.030499700107611716
1700,6,94599,64830,0.02551920001860708
1700,7,94599,64830,0.02620240009855479
1700,8,94599,64830,0.02665730006992817
1700,9,94599,64830,0.025612200028263032
1700,10,94599,64830,0.029520000098273158
1800,1,102321,70409,0.028577700024470687
1800,2,102321,70409,0.026914000045508146
1800,3,102321,70409,0.029610499972477555
1800,4,102321,70409,0.02573260001372546
1800,5,102321,70409,0.028797800070606172
1800,6,102321,70409,0.028668700018897653
1800,7,102321,70409,0.02656639995984733
1800,8,102321,70409,0.02583520009648055
1800,9,102321,70409,0.02732360002119094
1800,10,102321,70409,0.025700300000607967
1900,1,108726,74483,0.027597600012086332
1900,2,108726,74483,0.02744530001655221
1900,3,108726,74483,0.026940700015984476
1900,4,108726,74483,0.027503299992531538
1900,5,108726,74483,0.02634740003850311
1900,6,108726,74483,0.030232600052841008
1900,7,108726,74483,0.0285448000067845
1900,8,108726,74483,0.02726460003759712
1900,9,108726,74483,0.028807800030335784
1900,10,108726,74483,0.030202300054952502
2000,1,116253,79982,0.029397499980404973
2000,2,116253,79982,0.028974700020626187
2000,3,116253,79982,0.027686600107699633
2000,4,116253,79982,0.027162599959410727
2000,5,116253,79982,0.02779019996523857
2000,6,116253,79982,0.0301403000485152
2000,7,116253,79982,0.027737700031138957
2000,8,116253,79982,0.03181299997959286
2000,9,116253,79982,0.028268399997614324
2000,10,116253,79982,0.027552899904549122
2100,1,121770,84208,0.027407700079493225
2100,2,121770,84208,0.028556899982504547
2100,3,121770,84208,0.029510100022889674
2100,4,121770,84208,0.028920600074343383
2100,5,121770,84208,0.028932500048540533
2100,6,121770,84208,0.027428099885582924
2100,7,121770,84208,0.0274898000061512
2100,8,121770,84208,0.02987220010254532
2100,9,121770,84208,0.027230800013057888
2100,10,121770,84208,0.028846299974247813
2200,1,128190,88736,0.029238299932330847
2200,2,128190,88736,0.028656099922955036
2200,3,128190,88736,0.027838999987579882
2200,4,128190,88736,0.02810009999666363
2200,5,128190,88736,0.03240849997382611
2200,6,128190,88736,0.030343699967488647
2200,7,128190,88736,0.028068299987353384
