n,k,comparisons,swaps
10000,89,152449,52878
10000,90,149008,52338
10000,91,155947,57005
10000,92,159355,51379
10000,93,150943,56966
10000,94,144253,57371
10000,95,145679,59050
10000,96,145490,59310
10000,97,146500,55523
10000,98,141231,54479
10000,99,150992,54368
10000,100,150054,64347
11000,1,160434,61621
11000,2,173346,60965
11000,3,167242,65488
11000,4,171372,61483
11000,5,162098,66317
11000,6,166770,66265
11000,7,164072,66171
11000,8,166645,64883
11000,9,170951,62613
11000,10,162967,66513
11000,11,162474,58731
11000,12,169082,68952
11000,13,171915,57354
11000,14,163889,66966
11000,15,166083,63290
11000,16,163206,60704
11000,17,181003,61407
11000,18,163905,68094
11000,19,162689,62425
11000,20,170204,58311
11000,21,159611,60424
11000,22,157485,62778
11000,23,172300,67346
11000,24,173569,58439
11000,25,162283,57763
11000,26,164823,64577
11000,27,160402,62585
11000,28,163344,67528
11000,29,166149,61350
11000,30,163110,63328
11000,31,161562,66714
11000,32,160754,63594
11000,33,164178,71756
11000,34,178380,68651
11000,35,183433,62893
11000,36,170090,60271
11000,37,169119,58714
11000,38,167468,60574
11000,39,161616,59465
11000,40,170939,75886
11000,41,160271,58949
11000,42,179523,68887
11000,43,161744,64529
11000,44,157503,62920
11000,45,159802,58980
11000,46,162206,64907
11000,47,160317,60044
11000,48,175034,63307
11000,49,156368,65765
11000,50,169783,58317
11000,51,173309,57169
11000,52,161154,65127
11000,53,163965,63507
11000,54,165109,60154
11000,55,165108,61694
11000,56,166991,59041
11000,57,165273,63920
11000,58,168217,68825
11000,59,174090,59438
11000,60,182079,67847
11000,61,174492,65225
11000,62,166869,57739
11000,63,167420,70304
11000,64,167235,62082
11000,65,168639,60588
11000,66,161439,66278
11000,67,169011,65011
11000,68,164627,63170
11000,69,161470,61839
11000,70,164232,66202
11000,71,158359,65683
11000,72,172005,68270
11000,73,167351,62350
11000,74,157907,64616
11000,75,177702,69178
11000,76,165874,58577
11000,77,168850,60189
11000,78,172168,57719
11000,79,165059,67980
11000,80,163249,60336
11000,81,161013,61526
11000,82,180996,55755
11000,83,174147,70039
11000,84,174652,67632
11000,85,159691,65280
11000,86,160785,61292
11000,87,168956,72043
11000,88,178429,58218
11000,89,166284,60261
11000,90,166344,60896
11000,91,162389,65032
11000,92,163288,68460
11000,93,158649,63273
11000,94,166652,62309
11000,95,163264,61959
11000,96,165519,58847
11000,97,160842,62300
11000,98,170519,69257
11000,99,173379,60167
11000,100,164709,63571
12000,1,191683,66380
12000,2,198176,71774
12000,3,180863,67949
12000,4,187725,77175
12000,5,186499,67494
12000,6,184814,71904
12000,7,177644,69783
12000,8,183338,80650
12000,9,184596,69493
12000,10,188811,65004
12000,11,184566,72674
12000,12,184478,71160
12000,13,180384,66478
12000,14,182828,69663
12000,15,185918,73787
12000,16,186699,72780
12000,17,181286,72835
12000,18,182575,68434
12000,19,182215,80079
12000,20,181147,63808
12000,21,195067,67761
12000,22,182703,66422
12000,23,188975,66717
12000,24,180364,65961
12000,25,191069,71833
12000,26,176377,72023
12000,27,190655,66567
12000,28,176963,71690
12000,29,183279,63907
12000,30,186353,69584
12000,31,179634,72088
12000,32,178456,66829
12000,33,184440,64361
12000,34,187591,65195
12000,35,182201,68278
12000,36,178613,64656
12000,37,180644,65924
12000,38,186278,68634
12000,39,192391,65971
12000,40,179417,73103
12000,41,181152,72048
12000,42,181590,65671
12000,43,180443,70415
12000,44,172912,69492
12000,45,182331,66192
12000,46,178556,71367
12000,47,179272,71433
12000,48,178501,66499
12000,49,190829,76831
12000,50,182634,70937
12000,51,184369,67997
12000,52,187953,65412
12000,53,176405,66631
12000,54,179194,65482
12000,55,199663,68337
12000,56,183360,64113
12000,57,172157,67497
12000,58,179401,72167
12000,59,180661,63660
12000,60,173900,67233
12000,61,183897,67601
12000,62,174624,72432
12000,63,189160,76100
12000,64,179545,68990
12000,65,187497,64510
12000,66,177955,72245
12000,67,173302,67883
12000,68,184206,73014
12000,69,191110,71147
12000,70,178830,64564
12000,71,176546,65329
12000,72,188248,66215
12000,73,185089,67452
12000,74,182915,67348
12000,75,189532,66144
12000,76,183774,63840
12000,77,178407,65869
12000,78,192792,67842
12000,79,194381,70447
12000,80,186220,64861
12000,81,181672,69286
12000,82,179833,66929
12000,83,183244,70211
12000,84,181115,68710
12000,85,186115,70038
12000,86,183736,71625
12000,87,188485,66172
12000,88,178480,70470
12000,89,191589,62812
12000,90,184786,75113
12000,91,181489,66399
12000,92,187996,62664
12000,93,178546,71492
12000,94,196046,63753
12000,95,184465,64700
12000,96,182376,68314
12000,97,176004,69449
12000,98,185050,66945
12000,99,181817,68073
12000,100,198135,66312
13000,1,195954,76139
13000,2,201835,76649
13000,3,198471,73845
13000,4,203046,69980
13000,5,204120,71950
13000,6,200913,76559
13000,7,195217,76864
13000,8,193494,72154
13000,9,193398,72811
13000,10,205361,77762
13000,11,214244,75298
13000,12,204474,73320
13000,13,200868,74824
13000,14,193309,75342
13000,15,189655,75961
13000,16,198665,75612
13000,17,196708,76472
13000,18,197189,75312
13000,19,216274,68199
13000,20,214756,69844
13000,21,201477,74238
13000,22,196183,72612
13000,23,193363,77877
13000,24,215890,68347
13000,25,200870,73310
13000,26,197986,84206
13000,27,195252,77856
13000,28,197438,70902
13000,29,192023,74351
13000,30,196523,74759
13000,31,195971,80240
13000,32,194110,71518
13000,33,195331,73435
13000,34,191736,73630
13000,35,220406,73324
13000,36,192087,76833
13000,37,196126,80511
13000,38,206356,74077
13000,39,206914,79077
13000,40,203736,76071
13000,41,226945,87801
13000,42,199097,74638
13000,43,194574,73584
13000,44,197825,73849
13000,45,193992,71147
13000,46,190578,75042
13000,47,202834,69715
13000,48,203955,80712
13000,49,206765,71836
13000,50,191963,75812
13000,51,207065,75110
13000,52,189585,79056
13000,53,199121,73065
13000,54,205374,71179
13000,55,204367,69345
13000,56,194231,73352
13000,57,196192,78249
13000,58,199922,75548
13000,59,195550,75799
13000,60,198373,77736
13000,61,194903,79717
13000,62,201495,81701
13000,63,194427,74234
13000,64,194908,73885
13000,65,197710,74954
13000,66,197014,82714
13000,67,195355,74323
