n,k,comparisons,swaps
8000,78,30485073,30413012
8000,79,29740328,29676285
8000,80,29823416,29775377
8000,81,36546643,36450578
8000,82,30909002,30836940
8000,83,12583850,12527789
8000,84,22252510,22164432
8000,85,19835573,19755473
8000,86,9747831,9643742
8000,87,9005570,8893429
8000,88,35814196,35766157
8000,89,15948427,15892399
8000,90,22884816,22812752
8000,91,11510710,11430642
8000,92,47379489,47347468
8000,93,26834773,26770720
8000,94,22512916,22400818
8000,95,21099538,21035484
8000,96,19594887,19530823
8000,97,11882711,11818656
8000,98,18952137,18880075
8000,99,22973911,22917877
8000,100,36235921,36179876
9000,1,48135126,48099105
9000,2,46226424,46163395
9000,3,38734724,38644655
9000,4,35409846,35346800
9000,5,19153145,19081091
9000,6,39444918,39363864
9000,7,9900316,9801237
9000,8,49643488,49562434
9000,9,19340567,19250500
9000,10,56039653,55976612
9000,11,37793192,37712142
9000,12,25744634,25654567
9000,13,38725423,38671386
9000,14,42983269,42893206
9000,15,15816913,15753867
9000,16,31927342,31855289
9000,17,35892154,35847125
9000,18,32768492,32705445
9000,19,47211309,47139258
9000,20,21615972,21543911
9000,21,48869982,48788928
9000,22,18129376,18057321
9000,23,15516118,15426048
9000,24,30684420,30621373
9000,25,31246994,31192955
9000,26,42167643,42104580
9000,27,27450656,27351569
9000,28,38613553,38568523
9000,29,50668258,50614228
9000,30,22688708,22580624
9000,31,43043523,42989492
9000,32,28464362,28392311
9000,33,22076929,21995866
9000,34,47030754,46994731
9000,35,27551436,27461369
9000,36,50054678,49973616
9000,37,20115464,20061425
9000,38,17146961,17074914
9000,39,29339846,29276802
9000,40,35981353,35918329
9000,41,17097580,17016525
9000,42,53448171,53367098
9000,43,54450361,54369267
9000,44,17943336,17844263
9000,45,50923213,50851166
9000,46,49805944,49697847
9000,47,18318193,18201118
9000,48,18502983,18439938
9000,49,13932901,13815807
9000,50,50283218,50202163
9000,51,22103031,22058003
9000,52,38611481,38557444
9000,53,17002068,16921010
9000,54,32277964,32223914
9000,55,31784225,31730186
9000,56,20801684,20684600
9000,57,51044874,50963823
9000,58,12226319,12091118
9000,59,46441334,46360280
9000,60,11497382,11380289
9000,61,23173747,23092672
9000,62,20223407,20178367
9000,63,26216839,26153792
9000,64,30521326,30413240
9000,65,46051165,46006134
9000,66,18076006,17976929
9000,67,27258112,27204070
9000,68,29235678,29163634
9000,69,40243071,40189032
9000,70,16262172,16172104
9000,71,59344495,59308481
9000,72,55374149,55320111
9000,73,26249184,26177130
9000,74,26277731,26205686
9000,75,37402345,37321285
9000,76,31810814,31765784
9000,77,17051360,16970304
9000,78,11070276,10944182
9000,79,14760948,14670878
9000,80,15975935,15876865
9000,81,37565025,37483973
9000,82,53520007,53456970
9000,83,23153233,23045146
9000,84,19829019,19756972
9000,85,43133670,43070627
9000,86,26689551,26617498
9000,87,35422464,35323390
9000,88,47835758,47763713
9000,89,41574635,41502586
9000,90,24326901,24236831
9000,91,30460040,30424021
9000,92,50027321,49973284
9000,93,58178426,58142395
9000,94,24398384,24353355
9000,95,23090476,22991407
9000,96,21074292,20993230
9000,97,20397159,20307095
9000,98,18172204,18091147
9000,99,51217964,51127894
9000,100,57375997,57321960
10000,1,52898419,52798363
10000,2,51561320,51471258
10000,3,59218420,59168396
10000,4,48369499,48239406
10000,5,59783384,59733354
10000,6,23282475,23162346
10000,7,57389180,57339154
10000,8,16592883,16522840
10000,9,21267891,21147821
10000,10,20285480,20165364
10000,11,44955694,44895655
10000,12,40341451,40261398
10000,13,35171377,35111339
10000,14,26217409,26107325
10000,15,45424123,45304044
10000,16,22014601,21894504
10000,17,36947764,36847703
10000,18,21684538,21624499
10000,19,19458818,19328737
10000,20,23280977,23210933
10000,21,18017285,17897204
10000,22,65855122,65785017
10000,23,29377534,29317495
10000,24,17707960,17567864
10000,25,14107772,13997702
10000,26,35655613,35565551
10000,27,30627530,30507450
10000,28,23223932,23123869
10000,29,21869282,21789228
10000,30,40814523,40714440
10000,31,68894786,68844757
10000,32,48506747,48406642
10000,33,41168791,41118762
10000,34,52530631,52440544
10000,35,36204309,36124254
10000,36,22337281,22207192
10000,37,22216689,22116604
10000,38,42869397,42809362
10000,39,21371599,21191447
10000,40,66797624,66697567
10000,41,23499941,23409881
10000,42,59582583,59512539
10000,43,46644242,46584204
10000,44,22962478,22862415
10000,45,57808742,57728690
10000,46,63360549,63250470
10000,47,23170990,23070922
10000,48,25310639,25200568
10000,49,66039513,65959409
10000,50,18145254,18035177
10000,51,25282669,25172591
10000,52,66658743,66588703
10000,53,34294288,34204225
10000,54,24454396,24364340
10000,55,18012469,17912398
10000,56,67586907,67536876
10000,57,38974001,38873931
10000,58,49986845,49936821
10000,59,26565380,26445296
10000,60,40855005,40794967
10000,61,28522073,28442019
10000,62,58331513,58241459
10000,63,43782392,43742369
10000,64,69114357,69054318
10000,65,16412364,16352326
10000,66,24762766,24642685
10000,67,32847311,32757249
10000,68,41681435,41601393
10000,69,37104845,37004776
10000,70,41072615,41002571
10000,71,27107581,27017525
10000,72,19683157,19613112
10000,73,11186939,11036841
